order_id,order_name,order_date,price,cogs,sku,campaign_name,adset_name,ad_name,channel,attribution_source
gid://shopify/Order/6336349339737,TC-001/25-26/4852,2025-07-01 00:59:44,1598.0,422.0,TH-037-MISTBRU,TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,Meta,customer_journey
gid://shopify/Order/6336356057177,TC-001/25-26/4853,2025-07-01 01:03:10,1899.0,725.0,TH-068-WILD-M,TH-063-SILBOO,Adventure Trekkers,TH-063-SILBOO,Meta,customer_journey
gid://shopify/Order/6336447873113,TC-001/25-26/4854,2025-07-01 01:55:12,1099.0,384.0,TH-067-SIPEASE,Unknown Campaign - Meta,Unknown Adset - Meta,Unknown Ad - Meta,Meta,customer_journey
gid://shopify/Order/6337000931417,TC-001/25-26/4856,2025-07-01 08:38:00,2999.0,1339.0,TH-028-COMCARE,TH-053-JACKET,ICP Pet Parent,TH-053-JACKET_ET156_IM259,Meta,customer_journey
gid://shopify/Order/6337018429529,TC-001/25-26/4857,2025-07-01 08:52:43,1099.0,397.0,TH-038-PAWTR,TH - Remarketing - Video - India - IG & FB - Sales - 29/03/2025,AS3 - Remarketing IC (30) – New,TH-036-PAWTR-ET139-SP368,Meta,customer_journey
gid://shopify/Order/6337074495577,TC-001/25-26/4858,2025-07-01 09:43:29,1599.0,582.0,TH-063-SILBOO-L,TH-063-SILBOO,Adventure Trekkers,TH-063-SILBOO,Meta,customer_journey
gid://shopify/Order/6337075478617,TC-001/25-26/4859,2025-07-01 09:44:31,1799.0,540.0,TH-058-CAPE-M,,,,Direct,
gid://shopify/Order/6337131642969,TC-001/25-26/4860,2025-07-01 10:20:22,799.0,211.0,TH-037-MISTBRU,TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,Meta,customer_journey
gid://shopify/Order/6337140785241,TC-001/25-26/4861,2025-07-01 10:28:52,1999.0,751.0,TH-068-WILD-L,TH-063-SILBOO,ICP Pet Parent,TH-063-SILBOO,Meta,customer_journey
gid://shopify/Order/6337140949081,TC-001/25-26/4862,2025-07-01 10:28:59,799.0,211.0,TH-037-MISTBRU,TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,Meta,customer_journey
